Entity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
England,0.459466,0.462236,0.46555,0.469321,0.473476,0.477755,0.483176,0.490214,0.497725,0.504728,0.509862,0.513942,0.518173,0.522349,0.526185,0.52928,0.533002,0.538065,0.543296,0.547649,0.549975,0.550783,0.551681,0.552388,0.552973,0.553326,0.553328,0.552932
Equatorial Guinea,0.095286,0.095151,0.095515,0.096186,0.09661,0.097569,0.101921,0.112269,0.125907,0.140887,0.155049,0.169951,0.18705,0.20468,0.220753,0.233862,0.244844,0.256166,0.265125,0.272418,0.275574,0.276207,0.277532,0.278119,0.278257,0.27825,0.278128,0.277337
Eritrea,0.08658,0.088249,0.089703,0.091571,0.093068,0.094672,0.09719,0.099454,0.102154,0.103936,0.104846,0.105078,0.105315,0.105405,0.105473,0.105179,0.104941,0.103546,0.102279,0.101529,0.100845,0.100695,0.100636,0.100789,0.100744,0.1013,0.101816,0.102503
Estonia,0.217591,0.216099,0.214754,0.214296,0.213722,0.213587,0.214233,0.215408,0.215566,0.216796,0.217424,0.219349,0.222309,0.225861,0.229283,0.233166,0.236076,0.239855,0.243593,0.246115,0.248455,0.250151,0.251287,0.252233,0.251934,0.251524,0.251266,0.250271
Ethiopia,0.083305,0.08193,0.08093,0.079786,0.079084,0.078637,0.078635,0.078414,0.078383,0.078304,0.078289,0.078455,0.079034,0.079669,0.080545,0.081311,0.082547,0.084328,0.086475,0.089005,0.0911,0.093292,0.095731,0.098384,0.100975,0.103668,0.106542,0.109817
Fiji,0.127122,0.128161,0.129065,0.129991,0.130924,0.131466,0.132254,0.132559,0.132909,0.133572,0.133838,0.134486,0.135087,0.135763,0.136672,0.137064,0.137634,0.138105,0.13897,0.139411,0.140063,0.141395,0.142176,0.142736,0.143668,0.144976,0.146452,0.147253
Finland,0.531073,0.530278,0.529059,0.52995,0.531172,0.53287,0.535375,0.541373,0.547406,0.553743,0.559956,0.566057,0.573195,0.580639,0.586725,0.589937,0.591649,0.591166,0.590755,0.589991,0.591111,0.590937,0.591166,0.591736,0.59194,0.59266,0.593479,0.594938
France,0.501159,0.504938,0.508502,0.512079,0.515091,0.517616,0.519433,0.521843,0.523844,0.525911,0.528258,0.531076,0.535173,0.539298,0.542626,0.545991,0.548996,0.550719,0.554064,0.555602,0.557622,0.559685,0.561704,0.564262,0.566911,0.569338,0.571357,0.573755
Gabon,0.217019,0.216758,0.21665,0.216451,0.216513,0.216819,0.217184,0.21757,0.21811,0.218223,0.218382,0.218924,0.219475,0.220023,0.220421,0.220943,0.221141,0.221062,0.220502,0.220274,0.220582,0.220805,0.221466,0.222139,0.223059,0.223865,0.225076,0.226577
Gambia,0.112319,0.11171,0.110893,0.110703,0.110154,0.110221,0.110052,0.110154,0.109975,0.110417,0.110232,0.110976,0.111291,0.111736,0.112609,0.112734,0.112815,0.112722,0.112417,0.112637,0.11266,0.112748,0.112822,0.112817,0.112831,0.11323,0.11326,0.113298
Georgia,0.171824,0.165866,0.160393,0.154669,0.149718,0.145532,0.140568,0.136109,0.13149,0.128535,0.127389,0.12792,0.129053,0.131324,0.133759,0.136479,0.139095,0.142197,0.146511,0.149798,0.15333,0.156341,0.158729,0.161859,0.164708,0.166974,0.169635,0.17164
Germany,0.460409,0.465226,0.469393,0.472826,0.475673,0.477758,0.480072,0.481373,0.482843,0.484153,0.48624,0.48872,0.491726,0.493889,0.49631,0.499505,0.501686,0.505554,0.509359,0.512774,0.51537,0.516948,0.518702,0.520611,0.521992,0.522847,0.521596,0.522066
Ghana,0.117142,0.117139,0.117742,0.118178,0.118313,0.119114,0.119382,0.119596,0.119976,0.120729,0.121457,0.121926,0.123205,0.124324,0.125103,0.12625,0.12712,0.127886,0.12871,0.129761,0.130683,0.132494,0.134146,0.136281,0.138663,0.141231,0.144081,0.147452
Greece,0.494487,0.496066,0.498349,0.500452,0.503159,0.50516,0.508336,0.512371,0.516637,0.521368,0.526984,0.533616,0.541749,0.550319,0.557717,0.563207,0.566944,0.570741,0.573939,0.575401,0.576268,0.576234,0.57508,0.573752,0.572011,0.568756,0.565342,0.559324
Greenland,0.481743,0.480503,0.479355,0.477928,0.476551,0.47654,0.476873,0.479072,0.480106,0.481587,0.482093,0.483043,0.486422,0.489509,0.493174,0.49804,0.50226,0.508062,0.513867,0.518085,0.521377,0.525235,0.527846,0.530607,0.533453,0.535706,0.537315,0.539069
Grenada,0.225733,0.227143,0.228527,0.230709,0.232759,0.234618,0.237369,0.239552,0.242691,0.246061,0.249156,0.252035,0.255812,0.259349,0.263299,0.266357,0.26901,0.271254,0.273507,0.275582,0.277533,0.279354,0.281254,0.282391,0.283951,0.285699,0.287347,0.288174
Guam,0.235438,0.23471,0.234717,0.234186,0.234356,0.235319,0.235852,0.2371,0.237834,0.238629,0.239411,0.240416,0.241534,0.24309,0.245252,0.246134,0.246544,0.247085,0.248284,0.248807,0.249634,0.249656,0.25007,0.250873,0.250894,0.251294,0.252103,0.253393
Guatemala,0.199942,0.200701,0.201473,0.202021,0.20272,0.204042,0.20521,0.206234,0.208416,0.209855,0.210934,0.212719,0.213666,0.215755,0.216383,0.217593,0.218648,0.219789,0.220678,0.221864,0.221966,0.223332,0.224417,0.225906,0.227451,0.228957,0.230272,0.23211
Guinea,0.111806,0.111261,0.11116,0.110655,0.11009,0.109817,0.109691,0.108926,0.109163,0.1086,0.10835,0.108047,0.107999,0.107666,0.107349,0.107126,0.107527,0.106842,0.106667,0.106636,0.106579,0.107005,0.107378,0.107999,0.109006,0.109931,0.111306,0.112388
Guinea-Bissau,0.10801,0.108517,0.108879,0.109113,0.10917,0.109149,0.109146,0.109187,0.108918,0.10892,0.10888,0.108758,0.108929,0.10872,0.108397,0.108388,0.108266,0.108037,0.107487,0.107201,0.107372,0.107267,0.107462,0.108033,0.108792,0.109678,0.110119,0.110999
Guyana,0.183945,0.184113,0.185075,0.18593,0.187071,0.188333,0.190327,0.193447,0.196634,0.199814,0.201824,0.203064,0.203902,0.204444,0.205609,0.206505,0.207501,0.209115,0.211234,0.212965,0.215626,0.217457,0.220109,0.223114,0.226556,0.230387,0.233461,0.237636
Haiti,0.163777,0.161629,0.159678,0.158211,0.157002,0.157032,0.156594,0.157127,0.15775,0.158226,0.158311,0.158403,0.158236,0.158508,0.158424,0.15851,0.158212,0.157857,0.157413,0.1573,0.156981,0.15757,0.158026,0.158325,0.158665,0.1594,0.160097,0.16079
High SDI,0.425878,0.429845,0.433759,0.437558,0.441042,0.444127,0.447283,0.451045,0.455025,0.458777,0.46203,0.465041,0.46849,0.471994,0.475164,0.477756,0.480071,0.482628,0.485304,0.487599,0.489345,0.490507,0.49142,0.492185,0.492832,0.493145,0.492943,0.492632
High-income,0.456168,0.460642,0.465067,0.469447,0.473492,0.477101,0.480839,0.485223,0.489849,0.494222,0.497926,0.501241,0.505016,0.508743,0.512171,0.515005,0.517555,0.520432,0.523398,0.525964,0.527763,0.528836,0.529562,0.529955,0.530185,0.529983,0.529162,0.528244
High-income Asia Pacific,0.369153,0.376123,0.382547,0.388739,0.39433,0.399323,0.40371,0.408407,0.412689,0.416372,0.419246,0.42127,0.423049,0.424697,0.42607,0.42783,0.430163,0.432852,0.435821,0.438693,0.440753,0.442326,0.443441,0.444694,0.445427,0.446327,0.446584,0.446689
High-middle SDI,0.156116,0.156386,0.156745,0.157277,0.157929,0.158607,0.159593,0.160793,0.162161,0.163713,0.165447,0.167364,0.169781,0.172375,0.175263,0.178172,0.181537,0.185653,0.190237,0.194808,0.198685,0.202329,0.206115,0.210081,0.213902,0.217754,0.221585,0.225377
Honduras,0.176865,0.177102,0.177237,0.177588,0.177418,0.177962,0.178428,0.178763,0.179604,0.180528,0.180761,0.181864,0.182436,0.183376,0.184591,0.185428,0.186976,0.188212,0.190266,0.191746,0.193043,0.194495,0.196186,0.197404,0.198699,0.201099,0.202624,0.203339
